"Work Item Type","Title 1","Title 2","Title 3","Description","Acceptance Criteria","Story Points","Tags","Priority","State","Area Path","Iteration Path","Assigned To"
"Feature","","Uitkeringsspecificaties","","<p>Stelt de inwoner in staat zijn uitkeringsspecificaties te raadplegen voor inzicht in zijn betalingen. Specificaties zijn vindbaar onder Documenten (Epic 6) en herkenbaar als documenttype Uitkeringsspecificatie.</p>","<ul><li>Uitkeringsspecificaties zijn vindbaar onder Documenten</li><li>Specificaties zijn herkenbaar als documenttype Uitkeringsspecificatie</li><li>Een specificatie is door de inwoner te openen en te downloaden</li><li>Bij geen specificaties wordt een lege staat getoond in plaats van een fout</li></ul>","","inwonerportaal; inzage; uitkeringen; vorderingen; epic-5; specificatie","2","New","Verius","Verius",""
"User Story","","","S5.2.1: Uitkeringsspecificaties raadplegen","<p>Als inwoner</p><p>Ik wil mijn uitkeringsspecificaties kunnen raadplegen</p><p>Zodat ik inzicht heb in mijn betalingen</p>","<ul><li>Uitkeringsspecificaties zijn vindbaar onder Documenten (zie Epic 6) en herkenbaar als documenttype Uitkeringsspecificatie</li><li>Een specificatie is te openen en te downloaden door de inwoner</li><li>Bij geen specificaties wordt een lege staat getoond in plaats van een fout</li></ul>","2","inwonerportaal; inzage; uitkeringen; vorderingen; epic-5; specificatie","2","New","Verius","Verius",""
"Feature","","Vorderingen Inzien","","<p>Geeft de inwoner inzage in zijn vorderingen zodat hij weet welke bedragen openstaan of worden teruggevorderd (acceptatiecriteria Opmeer/Koggenland, besluit A2). Per vordering zijn omschrijving, bedrag, datum en gerelateerde zaak zichtbaar.</p>","<ul><li>Per vordering worden minimaal omschrijving/soort, bedrag en datum getoond</li><li>Waar van toepassing wordt de gerelateerde zaak/regeling getoond</li><li>Onderscheid tussen openstaand en afgehandeld is zichtbaar waar van toepassing</li><li>Bij geen vorderingen wordt een lege staat getoond in plaats van een fout</li></ul>","","inwonerportaal; inzage; uitkeringen; vorderingen; epic-5; vordering","2","New","Verius","Verius",""
"User Story","","","S5.3.1: Vorderingen inzien","<p>Als inwoner</p><p>Ik wil mijn vorderingen kunnen inzien</p><p>Zodat ik weet welke bedragen openstaan of worden teruggevorderd</p>","<ul><li>Per vordering worden minimaal getoond: omschrijving/soort, bedrag, datum en (waar van toepassing) de gerelateerde zaak/regeling</li><li>Waar van toepassing is onderscheid zichtbaar tussen openstaand en afgehandeld</li><li>Bij geen vorderingen wordt een lege staat getoond in plaats van een fout</li></ul>","3","inwonerportaal; inzage; uitkeringen; vorderingen; epic-5; vordering","2","New","Verius","Verius",""
"Epic","Documenten Raadplegen En Downloaden","","","<p>For (Who): inwoner die zijn documenten en correspondentie wil raadplegen en bewaren</p><p>The (Is a): Inwonerportaal Verius Samen</p><p>That: inzage in en download van gepubliceerde documenten, gegroepeerd per documenttype</p><p>Our solution: documentenoverzicht met groepering per gepubliceerd documenttype, telling en downloadactie per document</p><p>Success criteria:</p><ul><li>Per document zijn documentnr, omschrijving en documenttype zichtbaar</li><li>Documenten zijn gegroepeerd per documenttype met telling</li><li>Alleen gepubliceerde documenttypen worden getoond</li><li>Elk document is te downloaden</li></ul><p>In scope: inzage en download van documenten (afhankelijk van publicatie via Epic 8)</p><p>Out of scope: aanleveren van documenten (zie Epic 9)</p>","","","inwonerportaal; inzage; documenten; epic-6","2","New","Verius","Verius",""
"Feature","","Documentenoverzicht En Download","","<p>Geeft de inwoner inzage in zijn documenten, gegroepeerd per gepubliceerd documenttype met telling, en stelt hem in staat elk document te downloaden om te bewaren of delen. Alleen door beheer gepubliceerde documenttypen worden getoond (Epic 8).</p>","<ul><li>Per document worden documentnr, omschrijving en documenttype getoond</li><li>Documenten zijn gegroepeerd per documenttype met telling (bijv. Uitkeringsspecificaties (1))</li><li>Alleen documenten van door beheer gepubliceerde documenttypen worden getoond</li><li>Per document is een downloadactie beschikbaar</li><li>Bij geen documenten wordt een lege staat getoond in plaats van een fout</li></ul>","","inwonerportaal; inzage; documenten; epic-6; download","2","New","Verius","Verius",""
"User Story","","","S6.1.1: Documenten inzien","<p>Als inwoner</p><p>Ik wil mijn documenten inzien</p><p>Zodat ik mijn correspondentie en specificaties bij de hand heb</p>","<ul><li>Per document worden getoond: Documentnr, Omschrijving, Documenttype</li><li>Documenten zijn gegroepeerd per documenttype (bijv. tabblad Uitkeringsspecificaties (1)) met telling</li><li>Alleen documenten van documenttypen die door beheer zijn gepubliceerd worden getoond (zie Epic 8)</li><li>Niet-gepubliceerde documenttypen worden niet getoond</li></ul>","2","inwonerportaal; inzage; documenten; epic-6; download","2","New","Verius","Verius",""
"User Story","","","S6.1.2: Document downloaden","<p>Als inwoner</p><p>Ik wil een document kunnen downloaden</p><p>Zodat ik het kan bewaren of delen</p>","<ul><li>Per document is een downloadactie beschikbaar</li><li>Het gedownloade document komt overeen met het getoonde document</li><li>Bij een document zonder beschikbaar bestand wordt geen mislukte download aangeboden</li></ul>","2","inwonerportaal; inzage; documenten; epic-6; download","2","New","Verius","Verius",""
"Epic","Zelf Regelen En Aanvragen","","","<p>For (Who): inwoner die zelfstandig zaken wil regelen, aanvragen indienen, aanvullen en akkoord geven</p><p>The (Is a): Inwonerportaal Verius Samen</p><p>That: integrale self-service voor aanvragen via webformulieren met slimme logica, validatie, bevestiging, AVG-opschoning, mede-ondertekening, akkoord op plannen en digitaal herstel</p><p>Our solution: een complete aanvraagmodule conform PvE-eisen 35/58 (U2/U6) met conditionele formulierlogica, auto-vullen uit X-Works, hersteltermijnen en herleidbare digitale akkoorden</p><p>Success criteria:</p><ul><li>Alle regelingen zijn digitaal indienbaar via een formulier en verschijnen als zaak</li><li>Formulieren tonen alleen relevante vragen en vullen bekende gegevens automatisch</li><li>Inwoner ontvangt bevestiging en kan onvolledige aanvragen herstellen</li><li>Mede-ondertekening verloopt via eigen DigiD-inlog en is herleidbaar</li><li>Niet-voltooide aanvragen worden AVG-conform en met audit-logging opgeschoond</li></ul><p>In scope: starten, vervolgen, aanvullen, samenvatten en akkoord geven van aanvragen</p><p>Out of scope: backoffice-behandeling; eHerkenning (vervallen)</p>","","","inwonerportaal; zelf-regelen; aanvragen; epic-7","1","New","Verius","Verius",""
"Feature","","Aanvraag Starten","","<p>Stelt de inwoner in staat zelfstandig een nieuwe aanvraag te starten via een webformulier voor alle regelingen via dit ene portaal (PvE 35/58, U2). De ingediende aanvraag verschijnt als zaak onder Lopende zaken met een duidelijke, eenduidige indienactie en bevestiging (bevindingen Westerkwartier #20/#26).</p>","<ul><li>Onder Zelf regelen > Aanvragen is de actie Aanvraag starten beschikbaar</li><li>De aanvraag verloopt via een webformulier conform de Freshdesk-handleiding</li><li>De ingediende aanvraag verschijnt als zaak onder Lopende zaken bij een gepubliceerd zaaktype-proces</li><li>Indienen rondt de aanvraag definitief af met een duidelijke bevestiging, zonder verwarrende extra stap</li><li>Alle regelingen zijn via dit ene portaal indienbaar, niet beperkt tot een deelportaal of lopende aanvragen</li></ul>","","inwonerportaal; zelf-regelen; aanvragen; epic-7; starten","1","New","Verius","Verius",""
"User Story","","","S7.1.1: Nieuwe aanvraag zelfstandig starten","<p>Als inwoner</p><p>Ik wil zelfstandig een nieuwe aanvraag starten</p><p>Zodat ik zonder tussenkomst een verzoek kan indienen</p>","<ul><li>Onder Zelf regelen > Aanvragen is de actie Aanvraag starten beschikbaar</li><li>De aanvraag verloopt via een webformulier (ingericht conform de Freshdesk-handleiding Webformulieren, zie Epic 8)</li><li>De ingediende aanvraag verschijnt als zaak onder Lopende zaken (mits het zaaktype-proces is gepubliceerd)</li><li>Een niet-gepubliceerd zaaktype-proces leidt niet tot een startbare aanvraag</li></ul>","5","inwonerportaal; zelf-regelen; aanvragen; epic-7; starten","2","New","Verius","Verius",""
"User Story","","","S7.1.2: Aanvraag met een duidelijke actie indienen","<p>Als inwoner</p><p>Ik wil mijn aanvraag met een duidelijke actie indienen</p><p>Zodat ik niet twijfel of het gelukt is</p>","<ul><li>Indienen rondt de aanvraag definitief af; er is geen verwarrende extra stap (opslaan en afsluiten) nodig na het indienen</li><li>Na indienen krijgt de inwoner een duidelijke bevestiging dat de aanvraag is verstuurd</li><li>Bevinding Westerkwartier #20 (ticket #4142) is afgedekt</li></ul>","3","inwonerportaal; zelf-regelen; aanvragen; epic-7; starten","2","New","Verius","Verius",""
"User Story","","","S7.1.3: Aanvraagformulier rechtstreeks vanaf website openen","<p>Als inwoner</p><p>Ik wil een specifiek aanvraagformulier rechtstreeks vanaf de gemeentewebsite kunnen openen</p><p>Zodat ik niet eerst in het portaal hoef te zoeken</p>","<ul><li>Een aanvraagformulier is via een directe link (deep link) vanaf de website te starten</li><li>De deep link leidt naar het juiste aanvraagformulier</li><li>Een ongeldige of verlopen deep link leidt niet naar een fout maar naar een passende melding</li><li>Bevinding Westerkwartier #26 (ticket #4238) is afgedekt</li></ul>","3","inwonerportaal; zelf-regelen; aanvragen; epic-7; starten","2","New","Verius","Verius",""
"User Story","","","S7.1.4: Alle regelingen via een portaal indienen","<p>Als inwoner</p><p>Ik wil alle aanvragen voor alle regelingen via dit ene portaal kunnen indienen</p><p>Zodat ik niet hoef te wisselen tussen portalen</p>","<ul><li>Alle regelingen zijn digitaal indienbaar via een portaal (o.a. Bijzondere Bijstand, Minimabeleid, SMI), uitbreidbaar naar alle domeinen</li><li>De aanvraagfunctionaliteit is niet beperkt tot een deelportaal of alleen beschikbaar binnen reeds lopende aanvragen</li><li>PvE-notitie Opmeer/Koggenland Eis 35 en 58 (uitgangspunt U2) is afgedekt</li></ul>","5","inwonerportaal; zelf-regelen; aanvragen; epic-7; starten; integraal","1","New","Verius","Verius",""
"Feature","","Vervolg Aanvraag","","<p>Stelt de inwoner in staat een eerder gestarte aanvraag te vervolgen zodat hij een onderbroken of vervolgstap kan afronden. Te vervolgen aanvragen worden in logische, chronologische volgorde getoond (bevinding Westerkwartier #21, ticket #4143).</p>","<ul><li>Onder Zelf regelen > Aanvragen is de actie Vervolg aanvraag beschikbaar</li><li>Te vervolgen aanvragen worden in een logische, chronologische volgorde getoond</li><li>Bij geen te vervolgen aanvragen wordt een lege staat getoond in plaats van een fout</li></ul>","","inwonerportaal; zelf-regelen; aanvragen; epic-7; vervolg","2","New","Verius","Verius",""
"User Story","","","S7.2.1: Eerder gestarte aanvraag vervolgen","<p>Als inwoner</p><p>Ik wil een eerder gestarte aanvraag vervolgen</p><p>Zodat ik een onderbroken of vervolgstap kan afronden</p>","<ul><li>Onder Zelf regelen > Aanvragen is de actie Vervolg aanvraag beschikbaar</li><li>Te vervolgen aanvragen worden in een logische, chronologische volgorde getoond (bevinding Westerkwartier #21, ticket #4143)</li><li>Bij geen te vervolgen aanvragen wordt een lege staat getoond in plaats van een fout</li></ul>","3","inwonerportaal; zelf-regelen; aanvragen; epic-7; vervolg","2","New","Verius","Verius",""
"Feature","","Slimme Formulierlogica","","<p>Beschrijft het gewenste gedrag van de webformulier-engine: conditionele vragen en teksten, auto-vullen uit X-Works, klikbare links en diakrieten, toelichtingsiconen, passende invoervelden en betrouwbaar vastleggen van antwoorden (bevindingen Eemsdelta/MG en Westerkwartier). Dit houdt formulieren overzichtelijk en voorkomt dataverlies.</p>","<ul><li>Vragen en tekstfragmenten kunnen conditioneel getoond/verborgen worden, ook per groep pagina's</li><li>Velden worden automatisch gevuld met gegevens uit X-Works</li><li>Tekstblokken tonen klikbare links en correct opgemaakte tekst inclusief diakrieten</li><li>Het toelichtingsicoon werkt in productie</li><li>Een ingevuld antwoord wordt direct vastgelegd zonder dataverlies of storende notify-melding</li></ul>","","inwonerportaal; zelf-regelen; aanvragen; epic-7; formulierlogica","2","New","Verius","Verius",""
"User Story","","","S7.3.1: Alleen relevante vragen en teksten tonen","<p>Als inwoner</p><p>Ik wil alleen de vragen en teksten zien die voor mijn situatie relevant zijn</p><p>Zodat het formulier overzichtelijk blijft</p>","<ul><li>Vragen kunnen conditioneel getoond/verborgen worden op basis van eerder ingevulde waarden</li><li>Tekstvragen en tekstfragmenten kunnen ook aan condities gekoppeld worden (gelijk aan reguliere vragen)</li><li>Condities kunnen op een groep pagina's tegelijk worden toegepast, zodat een route niet pagina-voor-pagina hoeft te worden ingericht (bevinding Westerkwartier #15, ticket #4136)</li><li>Niet-relevante vragen worden niet getoond bij niet-voldane condities</li></ul>","3","inwonerportaal; zelf-regelen; aanvragen; epic-7; formulierlogica; condities","2","New","Verius","Verius",""
"User Story","","","S7.3.2: Bekende gegevens automatisch invullen","<p>Als inwoner</p><p>Ik wil dat bekende gegevens automatisch zijn ingevuld</p><p>Zodat ik niet alles opnieuw hoef in te voeren</p>","<ul><li>Velden worden automatisch gevuld met gegevens uit X-Works (mits de data-query's aan het zaaktype-proces zijn gekoppeld)</li><li>Condities mogen werken op basis van opgehaalde persoonsgegevens (bijv. controle of de inwoner in de gemeente woont)</li><li>Ontbreken gekoppelde data-query's, dan blijft het veld leeg in plaats van een fout te tonen</li></ul>","5","inwonerportaal; zelf-regelen; aanvragen; epic-7; formulierlogica; auto-vullen","2","New","Verius","Verius",""
"User Story","","","S7.3.3: Klikbare links en correcte tekstopmaak tonen","<p>Als beheerder/inwoner</p><p>Ik wil dat tekstblokken klikbare links en correct opgemaakte tekst tonen</p><p>Zodat verwijzingen bruikbaar zijn</p>","<ul><li>In tekstblokken kunnen klikbare URL's worden opgenomen (bijv. via een hyperlink die in een nieuw tabblad opent)</li><li>Speciale tekens en diakrieten (bijv. E met accent, e met trema, i met trema) worden correct weergegeven, zowel in invoer als in labels</li><li>Diakrieten worden niet als vervangende of onleesbare tekens weergegeven (bevindingen Eemsdelta #2/#1)</li></ul>","3","inwonerportaal; zelf-regelen; aanvragen; epic-7; formulierlogica","2","New","Verius","Verius",""
"User Story","","","S7.3.4: Toelichting bij een vraag opvragen","<p>Als inwoner</p><p>Ik wil toelichting bij een vraag kunnen opvragen</p><p>Zodat ik begrijp wat gevraagd wordt</p>","<ul><li>Het informatie-/toelichtingsicoon (i) werkt in productie (bij hoveren/klikken), niet alleen in de testomgeving</li><li>De toelichting toont de bij de vraag ingerichte tekst</li><li>Het icoon faalt niet stil in productie (bevindingen Eemsdelta #9, Westerkwartier #13, ticket #3688)</li></ul>","2","inwonerportaal; zelf-regelen; aanvragen; epic-7; formulierlogica","2","New","Verius","Verius",""
"User Story","","","S7.3.5: Passende invoervelden kiezen","<p>Als beheerder</p><p>Ik wil passende invoervelden kunnen kiezen</p><p>Zodat het formulier aansluit op de hoeveelheid gevraagde informatie</p>","<ul><li>Er is naast een groot tekstvak ook een enkelvoudige tekstregel beschikbaar</li><li>Tekstvakken passen zich aan / zijn uitbreidbaar zodat ingevoerde tekst volledig zichtbaar blijft (letters vallen niet weg)</li><li>Ingevoerde tekst wordt niet afgekapt of onleesbaar weergegeven (bevindingen Westerkwartier #8/#9/#23, ticket #4007)</li></ul>","3","inwonerportaal; zelf-regelen; aanvragen; epic-7; formulierlogica","2","New","Verius","Verius",""
"User Story","","","S7.3.6: Ingevulde antwoorden direct en betrouwbaar vastleggen","<p>Als inwoner</p><p>Ik wil dat mijn ingevulde antwoorden direct en betrouwbaar worden vastgelegd</p><p>Zodat ik geen gegevens verlies</p>","<ul><li>Een ingevuld/geselecteerd antwoord wordt vastgelegd zonder dat eerst elders geklikt hoeft te worden</li><li>Er treedt geen dataverlies op bij het invullen</li><li>Er treedt geen storende notify-melding op (bevinding Westerkwartier #12, ticket #4138)</li></ul>","3","inwonerportaal; zelf-regelen; aanvragen; epic-7; formulierlogica","2","New","Verius","Verius",""
"Feature","","Navigatie En Validatie In Aanvraagformulier","","<p>Levert duidelijke navigatie en correcte validatie in het aanvraagformulier: terug, afbreken, omkeerbare verplicht-markering, verwijderbare routes en logische plaatsing van het verplicht-teken (bevindingen Eemsdelta/MG en Westerkwartier). Dit voorkomt dat de inwoner vastloopt en houdt de inrichting herstelbaar.</p>","<ul><li>Er is een duidelijke Vorige-knop naast navigatie via pagina-overzicht/blokken</li><li>De optie Afbreken is op elke pagina zichtbaar, inclusief de laatste pagina</li><li>Het verplicht maken van een vraag is omkeerbaar</li><li>Een toegevoegde navigatie/route in een vragenlijsttemplate is verwijderbaar</li><li>Het verplicht-teken staat consistent en logisch bij de betreffende vraag</li></ul>","","inwonerportaal; zelf-regelen; aanvragen; epic-7; navigatie; validatie","2","New","Verius","Verius",""
"User Story","","","S7.4.1: Terug naar een vorige stap in het formulier","<p>Als inwoner</p><p>Ik wil in het formulier terug kunnen naar een vorige stap</p><p>Zodat ik antwoorden kan corrigeren</p>","<ul><li>Er is een duidelijke Vorige-knop, naast navigatie via het pagina-overzicht/blokken</li><li>Bij teruggaan blijven eerder ingevulde antwoorden behouden</li><li>Op de eerste pagina leidt teruggaan niet tot een fout (bevinding Eemsdelta #13)</li></ul>","2","inwonerportaal; zelf-regelen; aanvragen; epic-7; navigatie","2","New","Verius","Verius",""
"User Story","","","S7.4.2: Aanvraag op elk moment afbreken","<p>Als inwoner</p><p>Ik wil mijn aanvraag op elk moment kunnen afbreken</p><p>Zodat ik niet vastloop</p>","<ul><li>De optie Afbreken is op elke pagina zichtbaar, inclusief de laatste pagina</li><li>Na afbreken wordt de aanvraag niet als ingediende zaak verwerkt</li><li>Bevinding Eemsdelta #12 is afgedekt</li></ul>","2","inwonerportaal; zelf-regelen; aanvragen; epic-7; navigatie","2","New","Verius","Verius",""
"User Story","","","S7.4.3: Verplicht-markering aan- en uitzetten","<p>Als beheerder</p><p>Ik wil de verplicht-markering van een vraag kunnen aan- en uitzetten</p><p>Zodat ik fouten in de inrichting kan herstellen</p>","<ul><li>Het verplicht maken van een vraag is omkeerbaar</li><li>Na uitzetten is de vraag niet langer verplicht voor de inwoner</li><li>Bevindingen Eemsdelta #14 en Westerkwartier #10 (ticket #4009) zijn afgedekt</li></ul>","2","inwonerportaal; zelf-regelen; aanvragen; epic-7; validatie","2","New","Verius","Verius",""
"User Story","","","S7.4.4: Navigaties binnen vragenlijsttemplate verwijderen","<p>Als beheerder</p><p>Ik wil navigaties binnen een vragenlijsttemplate kunnen verwijderen</p><p>Zodat ik de routing kan corrigeren</p>","<ul><li>Een toegevoegde navigatie/route in een vragenlijsttemplate is verwijderbaar</li><li>Na verwijderen is de route niet langer actief in het formulier</li><li>Bevinding Westerkwartier #11 (ticket #4009) is afgedekt</li></ul>","2","inwonerportaal; zelf-regelen; aanvragen; epic-7; validatie","2","New","Verius","Verius",""
"User Story","","","S7.4.5: Verplicht-teken op een logische plek tonen","<p>Als inwoner</p><p>Ik wil dat het verplicht-teken (*) op een logische plek staat</p><p>Zodat het formulier leesbaar blijft</p>","<ul><li>Het verplicht-teken staat consistent en logisch bij de betreffende vraag (niet losgekoppeld onderaan een zin)</li><li>De plaatsing is consistent over alle verplichte vragen heen</li><li>Bevinding Westerkwartier #17 (ticket #4140) is afgedekt</li></ul>","1","inwonerportaal; zelf-regelen; aanvragen; epic-7; validatie","2","New","Verius","Verius",""
"Feature","","Bevestiging En Notificatie Van Aanvraag","","<p>Zorgt dat de inwoner na het indienen een bevestiging met samenvatting ontvangt (Eemsdelta/MG #5), met ondersteuning voor beveiligd mailen. Bij ontbreken van een e-mailadres wordt de inwoner vooraf gewezen op het uitblijven van een bevestiging.</p>","<ul><li>Na indienen wordt een bevestiging met samenvatting van de aanvraag verstuurd</li><li>Beveiligd mailen wordt ondersteund via de daarvoor bestemde module</li><li>Is geen e-mailadres bekend, dan wordt geen bevestiging verstuurd</li><li>De inwoner wordt vooraf gewezen op het uitblijven van een bevestiging zonder e-mailadres</li></ul>","","inwonerportaal; zelf-regelen; aanvragen; epic-7; bevestiging","2","New","Verius","Verius",""
"User Story","","","S7.5.1: Bevestiging met samenvatting ontvangen","<p>Als inwoner</p><p>Ik wil na het indienen een bevestiging met samenvatting ontvangen</p><p>Zodat ik weet dat mijn aanvraag is ontvangen</p>","<ul><li>Na indienen wordt een bevestiging met samenvatting van de aanvraag verstuurd</li><li>Beveiligd mailen wordt ondersteund (via de daarvoor bestemde module)</li><li>De samenvatting in de bevestiging komt overeen met de ingediende aanvraag</li></ul>","3","inwonerportaal; zelf-regelen; aanvragen; epic-7; bevestiging","2","New","Verius","Verius",""
"User Story","","","S7.5.2: Duidelijkheid bij onbekend e-mailadres","<p>Als inwoner</p><p>Ik wil duidelijkheid over de bevestiging wanneer mijn e-mailadres niet bekend is</p><p>Zodat ik niet ten onrechte op een bevestiging wacht</p>","<ul><li>Is er geen e-mailadres bekend, dan wordt geen bevestiging verstuurd</li><li>De inwoner wordt hier vooraf op gewezen (bij de afsluiting wordt aangegeven dat een e-mailadres nodig is voor de bevestiging)</li><li>Het ontbreken van een e-mailadres blokkeert het indienen van de aanvraag niet</li></ul>","2","inwonerportaal; zelf-regelen; aanvragen; epic-7; bevestiging","2","New","Verius","Verius",""
"Feature","","Privacy Bij Niet-voltooide Aanvragen (AVG)","","<p>Borgt AVG-conform werken bij niet-afgeronde aanvragen (Eemsdelta/MG #6, besluit C4): een aanvraag wordt pas een zaak bij indienen, en gegevens van niet-ingediende aanvragen of niet-inwoners worden geautomatiseerd opgeschoond met audit-logging. Dit voorkomt dat personen onterecht in het systeem blijven staan.</p>","<ul><li>Een aanvraag wordt pas een zaak op het moment van indienen</li><li>Gegevens van een gestarte, niet-ingediende aanvraag worden geautomatiseerd opgeschoond conform bewaarbeleid</li><li>Gegevens van een niet-inwoner zonder verdere bekendheid in X-Works worden geautomatiseerd opgeschoond</li><li>Elke opschoning wordt vastgelegd met audit-logging (wat, wanneer, op welke grond)</li><li>Een ingediende aanvraag wordt niet ten onrechte opgeschoond</li></ul>","","inwonerportaal; zelf-regelen; aanvragen; epic-7; avg; privacy","2","New","Verius","Verius",""
"User Story","","","S7.6.1: Niet-afgeronde aanvraag AVG-conform opschonen","<p>Als gemeente</p><p>Ik wil dat een persoon niet onterecht in het systeem blijft staan na een niet-afgeronde aanvraag</p><p>Zodat we AVG-conform werken</p>","<ul><li>Een aanvraag wordt pas een zaak op het moment van indienen</li><li>Persoonsgegevens die alleen door een gestarte, niet-ingediende aanvraag zijn aangemaakt worden geautomatiseerd opgeschoond conform bewaarbeleid (archiefwet-traject)</li><li>Elke opschoning wordt vastgelegd met passende audit-logging (wat, wanneer, op welke grond)</li><li>Gegevens van een ingediende aanvraag worden niet ten onrechte opgeschoond (besluit C4)</li></ul>","5","inwonerportaal; zelf-regelen; aanvragen; epic-7; avg; privacy","2","New","Verius","Verius",""
"User Story","","","S7.6.2: Gegevens van niet-inwoner opschonen","<p>Als gemeente</p><p>Ik wil dat gegevens van een inwoner die niet in onze gemeente woont worden opgeschoond</p><p>Zodat we geen onnodige gegevens bewaren</p>","<ul><li>Wanneer na DigiD-inlog blijkt dat de inwoner niet in de gemeente woont en er verder niets bij die persoon bekend is in X-Works, worden de aangemaakte gegevens geautomatiseerd opgeschoond</li><li>Deze opschoning wordt vastgelegd met passende audit-logging (wat, wanneer, op welke grond)</li><li>Is er wel iets over de persoon bekend in X-Works, dan wordt niet opgeschoond (bevinding Westerkwartier #25, besluit C4)</li></ul>","5","inwonerportaal; zelf-regelen; aanvragen; epic-7; avg; privacy","2","New","Verius","Verius",""
"Feature","","Mede-ondertekening En Helpers","","<p>Maakt rechtsgeldige mede-ondertekening van een aanvraag mogelijk na verplichte eigen DigiD-inlog van de partner (harde eis, besluit C3) en stelt de inwoner in staat een helper te betrekken (PvE NvI). Dit borgt herleidbaarheid van de medeondertekening en ondersteuning bij het invullen.</p>","<ul><li>De partner logt verplicht apart in via DigiD voordat hij/zij kan mede-ondertekenen</li><li>Ondertekenen zonder eigen DigiD-inlog is niet toegestaan</li><li>De mede-ondertekening is herleidbaar tot de DigiD-geidentificeerde partner</li><li>Na ondertekenen keert de gebruiker terug op de juiste plek (niet de beginpagina)</li><li>De inwoner kan een helper betrekken bij het doorlopen van een aanvraag</li></ul>","","inwonerportaal; zelf-regelen; aanvragen; epic-7; mede-ondertekening; helpers","1","New","Verius","Verius",""
"User Story","","","S7.7.1: Aanvraag mede-ondertekenen na eigen DigiD-inlog","<p>Als partner van de aanvrager</p><p>Ik wil een aanvraag betrouwbaar kunnen mede-ondertekenen na eigen DigiD-inlog</p><p>Zodat de medeondertekening rechtsgeldig en herleidbaar is</p>","<ul><li>De partner logt verplicht apart in via DigiD voordat hij/zij kan mede-ondertekenen; ondertekenen zonder eigen DigiD-inlog is niet toegestaan</li><li>De mede-ondertekening is herleidbaar tot de DigiD-geidentificeerde partner</li><li>Na ondertekenen keert de gebruiker terug op de juiste plek (niet de beginpagina)</li><li>Een poging tot ondertekenen zonder geslaagde eigen DigiD-inlog wordt geweigerd (harde eis, besluit C3)</li></ul>","5","inwonerportaal; zelf-regelen; aanvragen; epic-7; mede-ondertekening; digid","1","New","Verius","Verius",""
"User Story","","","S7.7.2: Helper betrekken bij een aanvraag","<p>Als inwoner</p><p>Ik wil een helper kunnen betrekken bij mijn aanvraag</p><p>Zodat iemand mij kan ondersteunen bij het invullen/indienen</p>","<ul><li>De inwoner kan een helper betrekken bij het doorlopen van een aanvraag</li><li>De helper kan de inwoner ondersteunen bij het invullen/indienen</li><li>Het betrekken van een helper laat de herleidbaarheid van de aanvraag tot de inwoner intact (PvE NvI self-service)</li></ul>","5","inwonerportaal; zelf-regelen; aanvragen; epic-7; helpers","2","New","Verius","Verius",""
"Feature","","Overzichtelijke Samenvatting","","<p>Toont de inwoner vooraf een overzichtelijke samenvatting van zijn aanvraag (bevinding Westerkwartier #19) zodat hij zijn antwoorden makkelijk kan controleren voor het indienen, met vraag en antwoord duidelijk gecombineerd.</p>","<ul><li>De samenvatting toont vraag en antwoord duidelijk gecombineerd en compact</li><li>De samenvatting is niet onnodig lang of losgekoppeld</li><li>De samenvatting komt overeen met de ingevulde antwoorden</li></ul>","","inwonerportaal; zelf-regelen; aanvragen; epic-7; samenvatting","2","New","Verius","Verius",""
"User Story","","","S7.8.1: Overzichtelijke samenvatting vooraf tonen","<p>Als inwoner</p><p>Ik wil voor het indienen een overzichtelijke samenvatting zien</p><p>Zodat ik mijn antwoorden makkelijk kan controleren</p>","<ul><li>De samenvatting toont vraag en antwoord duidelijk gecombineerd en compact (niet onnodig lang of losgekoppeld)</li><li>De samenvatting komt overeen met de daadwerkelijk ingevulde antwoorden</li><li>Bevinding Westerkwartier #19 is afgedekt</li></ul>","2","inwonerportaal; zelf-regelen; aanvragen; epic-7; samenvatting","2","New","Verius","Verius",""
"Feature","","Akkoord Geven Op Plannen","","<p>Stelt de inwoner in staat digitaal akkoord te geven op een (ondersteunings)plan (PvE Eis 58, U6) zodat papieren ondertekening vervalt. Het akkoord wordt herleidbaar vastgelegd bij de zaak/het plan en sluit aan op het Integraal Plan (Feature 10.2).</p>","<ul><li>De inwoner kan een plan inzien en daar digitaal akkoord op geven</li><li>Het gegeven akkoord wordt vastgelegd en is herleidbaar bij de betreffende zaak/het plan</li><li>Zonder akkoord blijft het plan ongetekend en wordt geen akkoord geregistreerd</li><li>Sluit aan op het Integraal Plan (Feature 10.2) wanneer die module actief is</li></ul>","","inwonerportaal; zelf-regelen; aanvragen; epic-7; akkoord","2","New","Verius","Verius",""
"User Story","","","S7.9.1: Digitaal akkoord geven op een plan","<p>Als inwoner</p><p>Ik wil digitaal akkoord kunnen geven op een (ondersteunings)plan</p><p>Zodat ik niet op papier hoef te tekenen</p>","<ul><li>De inwoner kan een plan inzien en daar digitaal akkoord op geven</li><li>Het gegeven akkoord wordt vastgelegd en is herleidbaar bij de betreffende zaak/het plan</li><li>Zonder bevestigd akkoord wordt geen akkoord geregistreerd</li><li>Sluit aan op het Integraal Plan (Feature 10.2) wanneer die module actief is (PvE Eis 58, U6)</li></ul>","5","inwonerportaal; zelf-regelen; aanvragen; epic-7; akkoord","2","New","Verius","Verius",""
